type1,type2,spritepath_front,spritepath_back
Grass,Poison,pokemon_images/sprites/0000-Bulbasaur-1/front/normal,pokemon_images/sprites/0000-Bulbasaur-1/back/normal
Grass,Poison,pokemon_images/sprites/0001-Ivysaur-2/front/normal,pokemon_images/sprites/0001-Ivysaur-2/back/normal
Grass,Poison,pokemon_images/sprites/0002-Venusaur-3/front/normal,pokemon_images/sprites/0002-Venusaur-3/back/normal
Fire,,pokemon_images/sprites/0005-Charmander-4/front/normal,pokemon_images/sprites/0005-Charmander-4/back/normal
Fire,,pokemon_images/sprites/0006-Charmeleon-5/front/normal,pokemon_images/sprites/0006-Charmeleon-5/back/normal
Fire,Flying,pokemon_images/sprites/0007-Charizard-6/front/normal,pokemon_images/sprites/0007-Charizard-6/back/normal
Water,,pokemon_images/sprites/0011-Squirtle-7/front/normal,pokemon_images/sprites/0011-Squirtle-7/back/normal
Water,,pokemon_images/sprites/0012-Wartortle-8/front/normal,pokemon_images/sprites/0012-Wartortle-8/back/normal
Water,,pokemon_images/sprites/0013-Blastoise-9/front/normal,pokemon_images/sprites/0013-Blastoise-9/back/normal
Bug,,pokemon_images/sprites/0016-Caterpie-10/front/normal,pokemon_images/sprites/0016-Caterpie-10/back/normal
Bug,,pokemon_images/sprites/0017-Metapod-11/front/normal,pokemon_images/sprites/0017-Metapod-11/back/normal
Bug,Flying,pokemon_images/sprites/0018-Butterfree-12/front/normal,pokemon_images/sprites/0018-Butterfree-12/back/normal
Bug,Poison,pokemon_images/sprites/0020-Weedle-13/front/normal,pokemon_images/sprites/0020-Weedle-13/back/normal
Bug,Poison,pokemon_images/sprites/0021-Kakuna-14/front/normal,pokemon_images/sprites/0021-Kakuna-14/back/normal
Bug,Poison,pokemon_images/sprites/0022-Beedrill-15/front/normal,pokemon_images/sprites/0022-Beedrill-15/back/normal
Normal,Flying,pokemon_images/sprites/0024-Pidgey-16/front/normal,pokemon_images/sprites/0024-Pidgey-16/back/normal
Normal,Flying,pokemon_images/sprites/0025-Pidgeotto-17/front/normal,pokemon_images/sprites/0025-Pidgeotto-17/back/normal
Normal,Flying,pokemon_images/sprites/0026-Pidgeot-18/front/normal,pokemon_images/sprites/0026-Pidgeot-18/back/normal
Normal,,pokemon_images/sprites/0028-Rattata-19/front/normal,pokemon_images/sprites/0028-Rattata-19/back/normal
Dark,Normal,pokemon_images/sprites/0029-Rattata Alola-19/front/normal,pokemon_images/sprites/0029-Rattata Alola-19/back/normal
Normal,,pokemon_images/sprites/0030-Raticate-20/front/normal,pokemon_images/sprites/0030-Raticate-20/back/normal
Dark,Normal,pokemon_images/sprites/0031-Raticate Alola-20/front/normal,pokemon_images/sprites/0031-Raticate Alola-20/back/normal
Normal,Flying,pokemon_images/sprites/0033-Spearow-21/front/normal,pokemon_images/sprites/0033-Spearow-21/back/normal
Normal,Flying,pokemon_images/sprites/0034-Fearow-22/front/normal,pokemon_images/sprites/0034-Fearow-22/back/normal
Poison,,pokemon_images/sprites/0035-Ekans-23/front/normal,pokemon_images/sprites/0035-Ekans-23/back/normal
Poison,,pokemon_images/sprites/0036-Arbok-24/front/normal,pokemon_images/sprites/0036-Arbok-24/back/normal
Electric,,pokemon_images/sprites/0037-Pikachu-25/front/normal,pokemon_images/sprites/0037-Pikachu-25/back/normal
Electric,,pokemon_images/sprites/0052-Raichu-26/front/normal,pokemon_images/sprites/0052-Raichu-26/back/normal
Electric,Psychic,pokemon_images/sprites/0053-Raichu Alola-26/front/normal,pokemon_images/sprites/0053-Raichu Alola-26/back/normal
Ground,,pokemon_images/sprites/0054-Sandshrew-27/front/normal,pokemon_images/sprites/0054-Sandshrew-27/back/normal
Ice,Steel,pokemon_images/sprites/0055-Sandshrew Alola-27/front/normal,pokemon_images/sprites/0055-Sandshrew Alola-27/back/normal
Ground,,pokemon_images/sprites/0056-Sandslash-28/front/normal,pokemon_images/sprites/0056-Sandslash-28/back/normal
Ice,Steel,pokemon_images/sprites/0057-Sandslash Alola-28/front/normal,pokemon_images/sprites/0057-Sandslash Alola-28/back/normal
Poison,,pokemon_images/sprites/0058-Nidoran F-29/front/normal,pokemon_images/sprites/0058-Nidoran F-29/back/normal
Poison,,pokemon_images/sprites/0059-Nidorina-30/front/normal,pokemon_images/sprites/0059-Nidorina-30/back/normal
Poison,Ground,pokemon_images/sprites/0060-Nidoqueen-31/front/normal,pokemon_images/sprites/0060-Nidoqueen-31/back/normal
Poison,,pokemon_images/sprites/0061-Nidoran M-32/front/normal,pokemon_images/sprites/0061-Nidoran M-32/back/normal
Poison,,pokemon_images/sprites/0062-Nidorino-33/front/normal,pokemon_images/sprites/0062-Nidorino-33/back/normal
Poison,Ground,pokemon_images/sprites/0063-Nidoking-34/front/normal,pokemon_images/sprites/0063-Nidoking-34/back/normal
Fairy,,pokemon_images/sprites/0064-Clefairy-35/front/normal,pokemon_images/sprites/0064-Clefairy-35/back/normal
Fairy,,pokemon_images/sprites/0065-Clefable-36/front/normal,pokemon_images/sprites/0065-Clefable-36/back/normal
Fire,,pokemon_images/sprites/0066-Vulpix-37/front/normal,pokemon_images/sprites/0066-Vulpix-37/back/normal
Ice,,pokemon_images/sprites/0067-Vulpix Alola-37/front/normal,pokemon_images/sprites/0067-Vulpix Alola-37/back/normal
Fire,,pokemon_images/sprites/0068-Ninetales-38/front/normal,pokemon_images/sprites/0068-Ninetales-38/back/normal
Ice,Fairy,pokemon_images/sprites/0069-Ninetales Alola-38/front/normal,pokemon_images/sprites/0069-Ninetales Alola-38/back/normal
Normal,Fairy,pokemon_images/sprites/0070-Jigglypuff-39/front/normal,pokemon_images/sprites/0070-Jigglypuff-39/back/normal
Normal,Fairy,pokemon_images/sprites/0071-Wigglytuff-40/front/normal,pokemon_images/sprites/0071-Wigglytuff-40/back/normal
Poison,Flying,pokemon_images/sprites/0072-Zubat-41/front/normal,pokemon_images/sprites/0072-Zubat-41/back/normal
Poison,Flying,pokemon_images/sprites/0073-Golbat-42/front/normal,pokemon_images/sprites/0073-Golbat-42/back/normal
Grass,Poison,pokemon_images/sprites/0074-Oddish-43/front/normal,pokemon_images/sprites/0074-Oddish-43/back/normal
Grass,Poison,pokemon_images/sprites/0075-Gloom-44/front/normal,pokemon_images/sprites/0075-Gloom-44/back/normal
Grass,Poison,pokemon_images/sprites/0076-Vileplume-45/front/normal,pokemon_images/sprites/0076-Vileplume-45/back/normal
Bug,Grass,pokemon_images/sprites/0077-Paras-46/front/normal,pokemon_images/sprites/0077-Paras-46/back/normal
Bug,Grass,pokemon_images/sprites/0078-Parasect-47/front/normal,pokemon_images/sprites/0078-Parasect-47/back/normal
Bug,Poison,pokemon_images/sprites/0079-Venonat-48/front/normal,pokemon_images/sprites/0079-Venonat-48/back/normal
Bug,Poison,pokemon_images/sprites/0080-Venomoth-49/front/normal,pokemon_images/sprites/0080-Venomoth-49/back/normal
Ground,,pokemon_images/sprites/0081-Diglett-50/front/normal,pokemon_images/sprites/0081-Diglett-50/back/normal
Ground,Steel,pokemon_images/sprites/0082-Diglett Alola-50/front/normal,pokemon_images/sprites/0082-Diglett Alola-50/back/normal
Ground,,pokemon_images/sprites/0083-Dugtrio-51/front/normal,pokemon_images/sprites/0083-Dugtrio-51/back/normal
Ground,Steel,pokemon_images/sprites/0084-Dugtrio Alola-51/front/normal,pokemon_images/sprites/0084-Dugtrio Alola-51/back/normal
Normal,,pokemon_images/sprites/0085-Meowth-52/front/normal,pokemon_images/sprites/0085-Meowth-52/back/normal
Dark,,pokemon_images/sprites/0086-Meowth Alola-52/front/normal,pokemon_images/sprites/0086-Meowth Alola-52/back/normal
Steel,,pokemon_images/sprites/0087-Meowth Galar-52/front/normal,pokemon_images/sprites/0087-Meowth Galar-52/back/normal
Normal,,pokemon_images/sprites/0089-Persian-53/front/normal,pokemon_images/sprites/0089-Persian-53/back/normal
Dark,,pokemon_images/sprites/0090-Persian Alola-53/front/normal,pokemon_images/sprites/0090-Persian Alola-53/back/normal
Water,,pokemon_images/sprites/0091-Psyduck-54/front/normal,pokemon_images/sprites/0091-Psyduck-54/back/normal
Water,,pokemon_images/sprites/0092-Golduck-55/front/normal,pokemon_images/sprites/0092-Golduck-55/back/normal
Fighting,,pokemon_images/sprites/0093-Mankey-56/front/normal,pokemon_images/sprites/0093-Mankey-56/back/normal
Fighting,,pokemon_images/sprites/0094-Primeape-57/front/normal,pokemon_images/sprites/0094-Primeape-57/back/normal
Fire,,pokemon_images/sprites/0095-Growlithe-58/front/normal,pokemon_images/sprites/0095-Growlithe-58/back/normal
Fire,,pokemon_images/sprites/0096-Arcanine-59/front/normal,pokemon_images/sprites/0096-Arcanine-59/back/normal
Water,,pokemon_images/sprites/0097-Poliwag-60/front/normal,pokemon_images/sprites/0097-Poliwag-60/back/normal
Water,,pokemon_images/sprites/0098-Poliwhirl-61/front/normal,pokemon_images/sprites/0098-Poliwhirl-61/back/normal
Water,Fighting,pokemon_images/sprites/0099-Poliwrath-62/front/normal,pokemon_images/sprites/0099-Poliwrath-62/back/normal
Psychic,,pokemon_images/sprites/0100-Abra-63/front/normal,pokemon_images/sprites/0100-Abra-63/back/normal
Psychic,,pokemon_images/sprites/0101-Kadabra-64/front/normal,pokemon_images/sprites/0101-Kadabra-64/back/normal
Psychic,,pokemon_images/sprites/0102-Alakazam-65/front/normal,pokemon_images/sprites/0102-Alakazam-65/back/normal
Fighting,,pokemon_images/sprites/0104-Machop-66/front/normal,pokemon_images/sprites/0104-Machop-66/back/normal
Fighting,,pokemon_images/sprites/0105-Machoke-67/front/normal,pokemon_images/sprites/0105-Machoke-67/back/normal
Fighting,,pokemon_images/sprites/0106-Machamp-68/front/normal,pokemon_images/sprites/0106-Machamp-68/back/normal
Grass,Poison,pokemon_images/sprites/0108-Bellsprout-69/front/normal,pokemon_images/sprites/0108-Bellsprout-69/back/normal
Grass,Poison,pokemon_images/sprites/0109-Weepinbell-70/front/normal,pokemon_images/sprites/0109-Weepinbell-70/back/normal
Grass,Poison,pokemon_images/sprites/0110-Victreebel-71/front/normal,pokemon_images/sprites/0110-Victreebel-71/back/normal
Water,Poison,pokemon_images/sprites/0111-Tentacool-72/front/normal,pokemon_images/sprites/0111-Tentacool-72/back/normal
Water,Poison,pokemon_images/sprites/0112-Tentacruel-73/front/normal,pokemon_images/sprites/0112-Tentacruel-73/back/normal
Rock,Ground,pokemon_images/sprites/0113-Geodude-74/front/normal,pokemon_images/sprites/0113-Geodude-74/back/normal
Rock,Electric,pokemon_images/sprites/0114-Geodude Alola-74/front/normal,pokemon_images/sprites/0114-Geodude Alola-74/back/normal
Rock,Ground,pokemon_images/sprites/0115-Graveler-75/front/normal,pokemon_images/sprites/0115-Graveler-75/back/normal
Rock,Electric,pokemon_images/sprites/0116-Graveler Alola-75/front/normal,pokemon_images/sprites/0116-Graveler Alola-75/back/normal
Rock,Ground,pokemon_images/sprites/0117-Golem-76/front/normal,pokemon_images/sprites/0117-Golem-76/back/normal
Rock,Electric,pokemon_images/sprites/0118-Golem Alola-76/front/normal,pokemon_images/sprites/0118-Golem Alola-76/back/normal
Fire,,pokemon_images/sprites/0119-Ponyta-77/front/normal,pokemon_images/sprites/0119-Ponyta-77/back/normal
Psychic,,pokemon_images/sprites/0120-Ponyta Galar-77/front/normal,pokemon_images/sprites/0120-Ponyta Galar-77/back/normal
Fire,,pokemon_images/sprites/0121-Rapidash-78/front/normal,pokemon_images/sprites/0121-Rapidash-78/back/normal
Psychic,Fairy,pokemon_images/sprites/0122-Rapidash Galar-78/front/normal,pokemon_images/sprites/0122-Rapidash Galar-78/back/normal
Water,Psychic,pokemon_images/sprites/0123-Slowpoke-79/front/normal,pokemon_images/sprites/0123-Slowpoke-79/back/normal
Psychic,,pokemon_images/sprites/0124-Slowpoke Galar-79/front/normal,pokemon_images/sprites/0124-Slowpoke Galar-79/back/normal
Water,Psychic,pokemon_images/sprites/0125-Slowbro-80/front/normal,pokemon_images/sprites/0125-Slowbro-80/back/normal
Poison,Psychic,pokemon_images/sprites/0126-Slowbro Galar-80/front/normal,pokemon_images/sprites/0126-Slowbro Galar-80/back/normal
Electric,Steel,pokemon_images/sprites/0128-Magnemite-81/front/normal,pokemon_images/sprites/0128-Magnemite-81/back/normal
Electric,Steel,pokemon_images/sprites/0129-Magneton-82/front/normal,pokemon_images/sprites/0129-Magneton-82/back/normal
Normal,Flying,pokemon_images/sprites/0130-Farfetchd-83/front/normal,pokemon_images/sprites/0130-Farfetchd-83/back/normal
Fighting,,pokemon_images/sprites/0131-Farfetchd Galar-83/front/normal,pokemon_images/sprites/0131-Farfetchd Galar-83/back/normal
Normal,Flying,pokemon_images/sprites/0132-Doduo-84/front/normal,pokemon_images/sprites/0132-Doduo-84/back/normal
Normal,Flying,pokemon_images/sprites/0133-Dodrio-85/front/normal,pokemon_images/sprites/0133-Dodrio-85/back/normal
Water,,pokemon_images/sprites/0134-Seel-86/front/normal,pokemon_images/sprites/0134-Seel-86/back/normal
Water,Ice,pokemon_images/sprites/0135-Dewgong-87/front/normal,pokemon_images/sprites/0135-Dewgong-87/back/normal
Poison,,pokemon_images/sprites/0136-Grimer-88/front/normal,pokemon_images/sprites/0136-Grimer-88/back/normal
Poison,Dark,pokemon_images/sprites/0137-Grimer Alola-88/front/normal,pokemon_images/sprites/0137-Grimer Alola-88/back/normal
Poison,,pokemon_images/sprites/0138-Muk-89/front/normal,pokemon_images/sprites/0138-Muk-89/back/normal
