type1,type2,Red,Orange,Yellow,Green,Cyan,Blue,Purple,Pink,White,Gray,Black,Brown
Grass,Poison,38.0,0.0,0.0,171.0,519.0,0.0,0.0,0.0,10.0,0.0,91.0,0.0
Grass,Poison,250.0,0.0,0.0,377.0,845.0,0.0,0.0,34.0,0.0,0.0,153.0,0.0
Grass,Poison,636.0,305.0,78.0,571.0,1792.0,0.0,0.0,150.0,0.0,0.0,351.0,0.0
Fire,None,301.0,286.0,99.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,112.0,0.0
Fire,None,786.0,38.0,48.0,0.0,0.0,2.0,0.0,0.0,206.0,10.0,215.0,0.0
Fire,Flying,1197.0,1007.0,59.0,0.0,700.0,0.0,0.0,0.0,257.0,5.0,341.0,0.0
Water,None,21.0,119.0,33.0,0.0,511.0,0.0,0.0,0.0,57.0,0.0,103.0,9.0
Water,None,0.0,5.0,0.0,0.0,0.0,821.0,0.0,0.0,613.0,0.0,222.0,45.0
Water,None,0.0,0.0,253.0,0.0,0.0,1163.0,0.0,0.0,309.0,182.0,394.0,150.0
Bug,None,40.0,9.0,0.0,302.0,40.0,0.0,0.0,32.0,146.0,0.0,82.0,0.0
Bug,None,0.0,0.0,0.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0
Bug,Flying,36.0,0.0,0.0,0.0,42.0,532.0,231.0,35.0,757.0,0.0,237.0,0.0
Bug,Poison,75.0,250.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,93.0,45.0
Bug,Poison,0.0,0.0,503.0,0.0,0.0,0.0,0.0,0.0,43.0,18.0,41.0,0.0
Bug,Poison,39.0,178.0,80.0,0.0,0.0,90.0,0.0,0.0,428.0,119.0,356.0,0.0
Normal,Flying,50.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,246.0,6.0,76.0,235.0
Normal,Flying,272.0,329.0,513.0,0.0,0.0,0.0,0.0,61.0,969.0,15.0,173.0,91.0
Normal,Flying,416.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1304.0,0.0,314.0,213.0
Normal,None,3.0,0.0,89.0,0.0,0.0,0.0,204.0,250.0,77.0,3.0,78.0,0.0
Dark,Normal,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,205.0,522.0,140.0,0.0
Normal,None,0.0,441.0,542.0,0.0,0.0,0.0,0.0,0.0,324.0,6.0,183.0,64.0
Dark,Normal,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,701.0,220.0,283.0
Normal,Flying,220.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,116.0,42.0
Normal,Flying,308.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,667.0,0.0,269.0,304.0
Poison,None,39.0,123.0,59.0,0.0,0.0,0.0,0.0,716.0,9.0,0.0,96.0,0.0
Poison,None,109.0,0.0,50.0,0.0,0.0,0.0,1692.0,0.0,4.0,0.0,485.0,0.0
Electric,None,19.0,81.0,682.0,0.0,0.0,0.0,0.0,0.0,15.0,46.0,117.0,43.0
Electric,None,64.0,536.0,369.0,0.0,0.0,0.0,0.0,0.0,215.0,46.0,153.0,276.0
Electric,Psychic,88.0,557.0,779.0,0.0,0.0,16.0,0.0,0.0,478.0,0.0,237.0,0.0
Ground,None,0.0,0.0,457.0,0.0,0.0,12.0,0.0,0.0,136.0,15.0,140.0,62.0
Ice,Steel,0.0,0.0,0.0,0.0,265.0,262.0,0.0,0.0,203.0,0.0,144.0,0.0
Ground,None,0.0,280.0,746.0,0.0,0.0,0.0,0.0,0.0,123.0,63.0,244.0,0.0
Ice,Steel,0.0,0.0,0.0,0.0,573.0,581.0,0.0,0.0,172.0,82.0,232.0,0.0
Poison,None,19.0,0.0,0.0,0.0,16.0,204.0,0.0,0.0,435.0,0.0,93.0,0.0
Poison,None,11.0,0.0,0.0,0.0,603.0,296.0,0.0,2.0,228.0,14.0,75.0,0.0
Poison,Ground,0.0,0.0,306.0,0.0,977.0,840.0,0.0,0.0,221.0,0.0,249.0,0.0
Poison,None,3.0,0.0,0.0,0.0,85.0,0.0,438.0,181.0,9.0,0.0,103.0,0.0
Poison,None,16.0,0.0,0.0,0.0,92.0,0.0,1234.0,0.0,15.0,2.0,196.0,1.0
Poison,Ground,9.0,0.0,0.0,0.0,111.0,34.0,1153.0,779.0,341.0,0.0,344.0,0.0
Fairy,None,9.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,570.0,24.0,94.0,177.0
Fairy,None,1047.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,56.0,4.0,136.0,0.0
Fire,None,615.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,0.0,150.0,57.0
Ice,None,0.0,0.0,0.0,0.0,180.0,158.0,0.0,0.0,907.0,0.0,148.0,0.0
Fire,None,3.0,366.0,2751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,0.0
Ice,Fairy,0.0,0.0,0.0,0.0,348.0,1011.0,0.0,0.0,1578.0,0.0,333.0,0.0
Normal,Fairy,88.0,0.0,0.0,0.0,4.0,39.0,0.0,614.0,15.0,0.0,90.0,0.0
Normal,Fairy,95.0,5.0,0.0,0.0,50.0,0.0,0.0,502.0,182.0,14.0,197.0,104.0
Poison,Flying,0.0,0.0,0.0,0.0,0.0,627.0,0.0,199.0,4.0,12.0,98.0,0.0
Poison,Flying,0.0,0.0,0.0,0.0,0.0,745.0,0.0,987.0,8.0,23.0,325.0,0.0
Grass,Poison,2.0,0.0,0.0,383.0,0.0,210.0,0.0,0.0,0.0,0.0,64.0,0.0
Grass,Poison,354.0,202.0,53.0,0.0,0.0,370.0,18.0,0.0,33.0,0.0,162.0,46.0
